region,region_previous,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,gender,edu_comp,degree_year,eui,dist_cult,eoi,soc_media
BC,bc,Alberta,strongly agree,probably yes,yes,extremely uncomfortable,important,that depends ,yes,yes i do know it is ,both,important,definitely yes,probably yes,definitely not,,no particular variety,,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,39,canada,female,graduate degree,i am not currently studying,0,no,,24 hours
AB,ab,Alberta,strongly agree,probably not,no,,important,that depends ,yes,yes but i cant describe it well,both,important,definitely yes,,definitely not,no,no particular variety,sometimes,yes,yes,probably yes,definitely yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,definitely yes,29,canada,female,other ,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,strongly disagreee,probably yes,no,,important,yes,yes,,zee,very important,definitely yes,probably yes,definitely not,,british english,sometimes,yes,yes,definitely yes,probably yes,strongly agree,disagree,agree,disagree,probably yes,49,canada,female,other ,i am not currently studying,0,no,,24 hours
AB,ab,Quebec,agree,neutral,yes,moderately comfortable,important,yes,yes,yes i do know it is ,both,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,44,canada,male,undergraduate degree,i am in a graduate program,0,no,,12 hours
AB,ab,Alberta,strongly agree,probably yes,yes,extremely comfortable,extremely important,no,no,,both,very important,definitely yes,probably yes,definitely not,yes ,no particular variety,often,yes,definitely yes,definitely not,definitely yes,strongly disagree,strongly disagree,agree,agree,definitely yes,44,canada,male,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
AB,ab,Alberta,strongly agree,definitely yes,yes,moderately comfortable,important,yes,no,,zed,important,probably yes,probably yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,definitely yes,strongly agree,strongly agree,strongly agree,strongly agree,probably yes,24,canada,female,high school,third year,0,no,,24 hours
other,,Alberta,strongly agree,probably yes,no,,important,yes,no,,zee,unimportant,probably not,probably yes,definitely not,yes ,no particular variety,often,,no,definitely yes,probably yes,disagree,strongly disagree,strongly agree,agree,probably not,54,canada,male,other ,i am not currently studying,0,yes ,3,46 hours
AB,ab,Alberta,strongly agree,definitely yes,yes,moderately uncomfortable,important,that depends ,not sure,,zed,neither unimportant nor important,probably yes,probably yes,probably not,,british english,often,yes,yes,might or might not,might or might not,strongly disagree,strongly disagree,,neither disagree nor agree,probably yes,49,canada,female,graduate degree,i am not currently studying,0,yes ,10,24 hours
AB,ab,Alberta,agree,probably not,no,,extremely important,no,not sure,yes but i cant describe it well,both,important,definitely yes,,probably not,yes ,british english,sometimes,no,definitely yes,might or might not,definitely yes,disagree,disagree,agree,neither disagree nor agree,probably yes,49,canada,male,undergraduate degree,i am not currently studying,0,no,,46 hours
AB,ab,Alberta,strongly agree,definitely yes,no,,important,that depends ,not sure,yes but i cant describe it well,zee,very important,definitely yes,probably not,probably not,yes ,no particular variety,sometimes,yes,yes,probably not,probably not,disagree,disagree,strongly agree,neither disagree nor agree,probably not,64,canada,female,postgraduate degree,i am not currently studying,0,no,,24 hours
AB,ab,Alberta,strongly agree,definitely not,no,,important,yes,no,yes but i cant describe it well,zed,important,probably yes,definitely yes,probably yes,no,british english,often,yes,yes,definitely yes,definitely yes,agree,agree,agree,agree,probably yes,34,canada,female,undergraduate degree,i am not currently studying,0,no,,12 hours
AB,ab,Alberta,strongly agree,probably yes,yes,neither comfortable nor uncomfortable,extremely important,no,yes,yes but i cant describe it well,both,important,definitely yes,probably yes,definitely not,no,british english,often,yes,definitely yes,definitely yes,might or might not,agree,agree,agree,neither disagree nor agree,probably yes,44,canada,female,undergraduate degree,i am not currently studying,1,no,,30 minutes to 1 hour
AB,ab,Alberta,agree,probably yes,yes,extremely comfortable,,yes,no,,zee,very important,definitely yes,probably not,,no,british english,often,yes,yes,probably yes,definitely yes,strongly agree,strongly agree,strongly agree,neither disagree nor agree,probably yes,34,canada,male,undergraduate degree,i am not currently studying,4,no,,30 minutes to 1 hour
AB,ab,Alberta,strongly agree,neutral,no,,extremely unimportant,yes,no,,both,very unimportant,probably not,probably not,probably not,no,british english,rarely,yes,no,definitely not,probably yes,agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,definitely not,39,canada,male,undergraduate degree,i am not currently studying,0,no,,less than 30 minutes
ON,on,Alberta,strongly agree,probably yes,no,,unimportant,that depends ,yes,,zee,important,probably yes,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,no,definitely yes,definitely yes,disagree,disagree,neither disagree nor agree,disagree,definitely not,39,canada,male,undergraduate degree,other degree ,0,yes ,0,30 minutes to 1 hour
AB,ab,Alberta,agree,definitely not,no,,important,that depends ,not sure,,zed,important,probably yes,probably yes,definitely not,no,no particular variety,often,yes,yes,probably yes,definitely yes,strongly agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,29,canada,male,graduate degree,i am not currently studying,1,no,,24 hours
AB,ab,Alberta,strongly agree,neutral,no,,important,yes,no,,both,unimportant,might or might not,probably yes,probably not,,british english,often,no,no,definitely yes,probably yes,strongly agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,29,canada,male,undergraduate degree,i am not currently studying,0,no,,24 hours
ON,on,Alberta,somewhat agree,probably not,no,,important,yes,no,,zee,very unimportant,probably yes,definitely not,probably yes,no,no particular variety,rarely,yes,yes,definitely yes,definitely yes,strongly agree,strongly disagree,strongly agree,agree,definitely not,54,canada,female,undergraduate degree,i am not currently studying,0,no,,46 hours
ON,on,Alberta,strongly agree,probably yes,no,,important,that depends ,not sure,,zed,neither unimportant nor important,might or might not,probably yes,definitely not,yes ,british english,sometimes,yes,no,probably yes,definitely yes,disagree,disagree,agree,agree,definitely yes,39,canada,male,graduate degree,i am not currently studying,0,yes ,5,30 minutes to 1 hour
AB,ab,Alberta,agree,neutral,no,,important,yes,not sure,,zed,important,definitely yes,probably yes,probably not,yes ,british english,often,yes,yes,probably yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,39,canada,female,graduate degree,fourth year+,0,no,,24 hours
AB,ab,Alberta,strongly agree,probably yes,yes,extremely comfortable,important,yes,yes,,both,very important,definitely yes,definitely yes,definitely not,no,british english,always,yes,,definitely yes,definitely yes,strongly agree,strongly agree,strongly agree,strongly agree,definitely yes,29,canada,female,undergraduate degree,i am not currently studying,3,no,,24 hours
AB,ab,Alberta,strongly agree,definitely yes,no,,important,that depends ,not sure,yes but i cant describe it well,zee,important,probably yes,probably yes,probably not,,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,agree,,strongly agree,neither disagree nor agree,probably not,29,canada,female,other ,i am not currently studying,0,no,,24 hours
ON,on,Ontario,strongly agree,definitely yes,yes,moderately comfortable,extremely important,yes,yes,yes i do know it is ,zed,very important,definitely yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,strongly agree,agree,agree,neither disagree nor agree,probably yes,44,canada,female,undergraduate degree,i am not currently studying,0,no,,46 hours
AB,ab,Alberta,somewhat agree,probably not,no,,unimportant,yes,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,definitely not,yes ,no particular variety,often,no,yes,definitely yes,probably yes,strongly agree,strongly disagree,strongly agree,neither disagree nor agree,probably yes,39,canada,male,undergraduate degree,other degree ,0,yes ,7,less than 30 minutes
BC,bc,Alberta,strongly agree,probably yes,no,,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,definitely not,no,british english,always,yes,definitely yes,probably yes,probably yes,strongly agree,strongly agree,,strongly agree,definitely yes,34,canada,male,high school,,0,no,,30 minutes to 1 hour
SK,sk,Alberta,strongly agree,probably yes,no,,important,that depends ,no,,zed,important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,disagree,disagree,agree,disagree,probably yes,39,canada,male,graduate degree,second year,0,no,,12 hours
AB,ab,Alberta,strongly agree,neutral,yes,neither comfortable nor uncomfortable,unimportant,no,no,,zee,neither unimportant nor important,might or might not,probably yes,definitely not,no,no particular variety,rarely,,neither yes or no,definitely yes,probably yes,agree,agree,,agree,probably yes,44,canada,male,other ,i am not currently studying,0,no,,24 hours
SK,sk,Alberta,strongly agree,probably yes,yes,neither comfortable nor uncomfortable,,that depends ,yes,,zed,very important,probably yes,probably yes,definitely not,,british english,often,yes,yes,definitely yes,definitely yes,agree,agree,agree,neither disagree nor agree,probably yes,54,canada,male,high school,i am not currently studying,3,yes ,9,less than 30 minutes
AB,ab,Alberta,agree,definitely yes,no,,important,yes,no,,zed,very important,probably yes,probably not,probably not,yes ,canadian english,often,yes,definitely yes,probably not,definitely yes,neither disagree nor agree,disagree,strongly agree,strongly agree,probably yes,49,canada,female,undergraduate degree,i am not currently studying,0,no,,24 hours
SK,sk,Alberta,strongly agree,definitely yes,yes,moderately comfortable,,that depends ,yes,yes i do know it is ,zed,neither unimportant nor important,,,probably not,yes ,british english,often,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,,44,canada,female,graduate degree,i am not currently studying,0,no,,24 hours
SK,sk,Alberta,strongly agree,neutral,yes,neither comfortable nor uncomfortable,important,yes,no,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,definitely yes,,,no particular variety,often,yes,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,strongly agree,definitely yes,49,canada,female,graduate degree,i am in a graduate program,0,no,,12 hours
AB,ab,Alberta,strongly agree,probably not,yes,neither comfortable nor uncomfortable,important,yes,no,,both,neither unimportant nor important,probably yes,probably yes,definitely not,no,no particular variety,sometimes,yes,neither yes or no,definitely yes,probably yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,39,canada,female,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour
